name,acronym,source,faculty,institute,number_women,number_men,,
Laboratory of Therapeutic Proteins and Peptides,LPPT,https://www.epfl.ch/labs/lppt/,SB,ISIC,,,,
Laboratory of Photonics and Quantum Measurements,LPQM,https://www.epfl.ch/labs/k-lab/,STI,IEL,,,,
Psychophysics Laboratory,LPSY,https://www.epfl.ch/labs/lpsy/,SV,BMI,,,,
Theoretical Particle Physics Laboratory,LPTP,https://www.epfl.ch/labs/lptp/,SB,IPHYS,,,,
Fondation Sandoz Chair in Physics of Quantum Gases,LQG,https://www.epfl.ch/labs/lqg/,SB,IPHYS,,,,
Fondation Sandoz Chair in Physics of Quantum Gases,LQG,https://lqg.epfl.ch/,SB,IPHYS,,,,
Laboratory for Quantum Magnetism,LQM,https://www.epfl.ch/labs/lqm/,SB,IPHYS,,,,
"Laboratory of Quantum Physics,  Topology and Correlations",LQP,https://www.epfl.ch/labs/lqp/,SB,IPHYS,0,,,
Laboratory of Renewable Energy Science and Engineering,LRESE,https://www.epfl.ch/labs/lrese/,STI,IGM,,,,
Laboratory of Magnetic Resonance,LRM,https://www.epfl.ch/labs/lrm/,SB,ISIC,,,,
Laboratory for Reactor Physics and Systems Behaviour,LRS,https://www.epfl.ch/labs/lrs/,SB,IPHYS,,,,
Laboratory for Soft Bioelectronic Interfaces,LSBI,https://www.epfl.ch/labs/lsbi/,STI,IMT,,,,
Laboratory of Stem Cell Bioengineering,LSCB,https://www.epfl.ch/labs/lutolf-lab/,SV,IBI,,,,
Laboratory of Inorganic Synthesis and Catalysis,LSCI,https://www.epfl.ch/labs/lsci/,SB,ISIC,,,,
Laboratory of Nanoscale Science,LSEN,https://www.epfl.ch/labs/lsen/,SB,IPHYS,,,,
Sensory Processing Laboratory,LSENS,https://www.epfl.ch/labs/lsens/,SV,BMI,,,,
Integrated Systems Laboratory,LSI,https://www.epfl.ch/labs/lsi/,IC,IEL,,,,
Distributed Information Systems Laboratory,LSIR,https://www.epfl.ch/labs/lsir/,IC,,,,,
Electron Spectrometry and Microscopy Laboratory,LSME,https://www.epfl.ch/labs/lsme/,SB,IPHYS,,,,
